Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
Data Analyst,"Informational, Commercial",74000,"0.81,1.00,1.00,1.00,1.00,0.81,0.81,1.00,0.81,0.81,0.81,0.67",64,4.98,"Sitelinks, AI Overview, Video, People also ask, Related searches, Things to know"
Software Engineer,Informational,60500,"0.67,0.67,0.81,1.00,0.81,0.67,0.67,0.81,0.81,0.81,0.81,0.81",74,6.62,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about, Things to know"
Developer,Commercial,22200,"1.00,0.66,0.66,0.81,0.66,0.66,0.81,0.66,0.44,0.81,1.00,0.81",100,4.21,"Sitelinks, Video, Related searches, Things to know"
Full Stack Developer,Informational,12100,"0.81,0.81,0.81,1.00,0.81,0.81,0.67,0.81,0.81,0.81,0.81,1.00",57,5.33,"Sitelinks, Image pack, Video, People also ask, Related searches, Things to know"
Mobile App Developers,Commercial,6600,"0.44,0.66,0.54,0.24,0.66,0.81,0.66,0.29,0.44,0.81,1.00,0.81",75,14.92,"Sitelinks, Video, Video carousel, People also ask, Local pack, Related searches, Things to know"
Coders,Informational,5400,"0.54,0.54,1.00,1.00,0.66,1.00,0.81,0.66,0.66,0.54,0.81,0.23",60,4.92,"Sitelinks, Image pack, Video, People also ask, Related searches, See results about"
Front end Developer,Informational,5400,"0.54,0.67,0.67,0.67,1.00,0.35,0.35,0.81,0.44,0.67,0.67,0.54",75,5.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know, Ads middle"
Automation Engineer,Informational,4400,"0.54,0.66,0.66,0.66,0.66,0.66,0.66,0.81,0.66,0.81,0.66,1.00",46,5.24,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Things to know"
Back end Developer,Informational,2400,"0.66,0.66,0.66,0.66,0.83,0.83,0.83,1.00,0.66,0.83,0.83,0.83",58,6.23,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Things to know"
Software Developers,Informational,2400,"0.67,1.00,0.44,0.52,0.67,0.52,0.67,0.52,0.44,1.00,0.80,1.00",66,9.36,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, See results about, Things to know, Ads bottom"
